L-value,Fe (2TAPL),Fe (4TAPL),"AlmO, int (2TAPL), 1 Acm","AlmO, int (4TAPL), 1 Acm","And, int (2TAPL), 1 Acm","And, int (4TAPL), 1 Acm","AlmO, diff (2TAPL), 1 Acm","AlmO, diff (4TAPL), 1 Acm","And, diff (2TAPL), 1 Acm","And, diff (4TAPL), 1 Acm","AlmO, int (2TAPL), 4 Acm","AlmO, int (4TAPL), 4 Acm","And, int (2TAPL), 4 Acm","And, int (4TAPL), 4 Acm"
184.50000,47,39,11.00000,17.00000,22.00000,26.00000,26.00000,39,27,34,88,115,86,97
184.51000,37,54,16.00000,11.00000,18.00000,31.00000,31.00000,28,21,31,92,123,63,113
184.52000,50,45,13.00000,9.00000,22.00000,17.00000,17.00000,40,19,21,87,118,76,96
184.53000,35,50,13.00000,22.00000,13.00000,28.00000,28.00000,37,18,29,85,114,59,98
184.54000,40,50,16.00000,20.00000,16.00000,23.00000,23.00000,35,17,22,111,132,81,127
184.55000,36,56,19.00000,22.00000,18.00000,35.00000,35.00000,36,15,29,89,135,80,105
184.56000,45,62,18.00000,21.00000,21.00000,17.00000,17.00000,38,21,26,92,127,92,92
184.57000,40,45,18.00000,27.00000,20.00000,18.00000,18.00000,36,12,28,100,137,71,101
184.58000,41,44,13.00000,24.00000,13.00000,33.00000,33.00000,28,11,27,109,133,84,101
184.59000,36,47,9.00000,19.00000,17.00000,30.00000,30.00000,30,18,20,103,129,84,103
184.60000,50,51,16.00000,27.00000,17.00000,26.00000,26.00000,27,19,24,98,134,75,88
184.61000,37,50,10.00000,19.00000,18.00000,23.00000,23.00000,26,23,32,95,129,74,117
184.62000,39,55,14.00000,19.00000,17.00000,32.00000,32.00000,31,21,27,109,122,90,96
184.63000,49,41,9.00000,21.00000,20.00000,27.00000,27.00000,26,17,26,107,108,78,97
184.64000,39,57,17.00000,25.00000,18.00000,26.00000,26.00000,28,15,24,88,152,83,107
184.65000,34,58,16.00000,25.00000,18.00000,27.00000,27.00000,28,19,20,91,126,72,123
184.66000,46,56,12.00000,23.00000,16.00000,33.00000,33.00000,25,19,19,87,128,70,114
184.67000,42,55,13.00000,20.00000,11.00000,26.00000,26.00000,34,28,18,101,130,73,123
184.68000,51,60,19.00000,17.00000,12.00000,27.00000,27.00000,35,24,33,103,121,99,102
184.69000,42,52,22.00000,13.00000,18.00000,27.00000,27.00000,23,17,22,96,126,63,103
184.70000,46,49,19.00000,22.00000,24.00000,35.00000,35.00000,27,15,21,116,128,82,109
184.71000,34,50,18.00000,13.00000,16.00000,30.00000,30.00000,42,15,25,87,125,87,99
184.72000,38,58,19.00000,24.00000,27.00000,32.00000,32.00000,32,14,18,96,116,72,105
184.73000,40,55,11.00000,26.00000,22.00000,25.00000,25.00000,39,13,20,99,144,77,101
184.74000,45,62,17.00000,14.00000,19.00000,19.00000,19.00000,34,18,30,100,119,91,99
184.75000,33,51,7.00000,13.00000,24.00000,42.00000,42.00000,33,16,28,91,147,73,130
184.76000,48,42,20.00000,21.00000,25.00000,38.00000,38.00000,30,20,28,115,135,70,88
184.77000,43,44,16.00000,15.00000,24.00000,29.00000,29.00000,29,16,27,87,163,74,108
184.78000,39,53,19.00000,11.00000,20.00000,37.00000,37.00000,36,12,31,103,139,83,110
184.79000,32,46,17.00000,23.00000,30.00000,33.00000,33.00000,33,22,22,107,124,75,99
184.80000,37,58,18.00000,18.00000,21.00000,30.00000,30.00000,31,23,29,108,130,84,117
184.81000,38,45,22.00000,15.00000,25.00000,33.00000,33.00000,54,21,18,98,139,74,121
184.82000,35,48,12.00000,16.00000,21.00000,33.00000,33.00000,29,18,26,102,144,74,111
184.83000,35,50,20.00000,21.00000,18.00000,39.00000,39.00000,37,22,28,95,120,68,106
184.84000,37,45,17.00000,20.00000,25.00000,32.00000,32.00000,30,20,27,102,135,80,92
184.85000,38,47,14.00000,18.00000,27.00000,30.00000,30.00000,27,15,31,99,130,89,106
184.86000,36,69,20.00000,16.00000,27.00000,38.00000,38.00000,33,17,27,93,151,84,119
184.87000,46,50,14.00000,22.00000,31.00000,38.00000,38.00000,32,8,36,96,130,70,100
184.88000,31,50,18.00000,20.00000,21.00000,20.00000,20.00000,37,17,21,100,139,85,119
184.89000,40,67,19.00000,16.00000,18.00000,23.00000,23.00000,38,13,30,101,132,79,103
184.90000,40,61,18.00000,23.00000,22.00000,37.00000,37.00000,35,22,23,82,133,84,111
184.91000,47,57,21.00000,21.00000,16.00000,48.00000,48.00000,29,17,30,95,119,71,102
184.92000,46,39,15.00000,26.00000,24.00000,41.00000,41.00000,34,19,28,131,132,82,104
184.93000,50,56,14.00000,29.00000,20.00000,30.00000,30.00000,28,16,29,93,130,78,118
184.94000,38,61,18.00000,29.00000,25.00000,46.00000,46.00000,27,21,20,101,127,79,100
184.95000,40,55,12.00000,20.00000,29.00000,48.00000,48.00000,41,16,34,93,134,79,104
184.96000,39,65,12.00000,17.00000,29.00000,32.00000,32.00000,31,14,21,101,121,64,109
184.97000,41,60,16.00000,28.00000,27.00000,35.00000,35.00000,26,23,25,104,142,92,100
184.98000,36,43,13.00000,23.00000,29.00000,21.00000,21.00000,29,17,26,81,138,75,117
184.99000,44,44,13.00000,25.00000,34.00000,27.00000,27.00000,33,21,31,91,130,65,122
185.00000,50,47,18.00000,17.00000,22.00000,29.00000,29.00000,30,27,34,78,129,97,107
185.01000,39,59,22.00000,25.00000,19.00000,35.00000,35.00000,37,23,27,89,135,62,116
185.02000,38,45,16.00000,20.00000,24.00000,42.00000,42.00000,35,20,38,105,147,71,89
185.03000,43,39,16.00000,29.00000,32.00000,30.00000,30.00000,32,13,26,87,156,83,103
185.04000,49,58,18.00000,29.00000,25.00000,30.00000,30.00000,38,21,33,106,141,76,100
185.05000,26,50,17.00000,19.00000,24.00000,19.00000,19.00000,27,29,35,90,140,78,111
185.06000,37,56,17.00000,17.00000,32.00000,34.00000,34.00000,35,22,32,107,151,83,93
185.07000,39,60,23.00000,27.00000,26.00000,56.00000,56.00000,29,24,33,102,117,77,117
185.08000,50,54,10.00000,23.00000,28.00000,32.00000,32.00000,33,18,25,101,154,72,109
185.09000,33,47,11.00000,24.00000,28.00000,29.00000,29.00000,30,20,35,101,129,95,107
185.10000,45,49,24.00000,22.00000,27.00000,30.00000,30.00000,35,19,36,85,115,66,111
185.11000,36,63,16.00000,29.00000,23.00000,38.00000,38.00000,31,27,25,101,141,84,101
185.12000,38,55,22.00000,27.00000,33.00000,43.00000,43.00000,32,17,20,99,144,84,114
185.13000,38,51,25.00000,32.00000,34.00000,39.00000,39.00000,38,18,35,106,119,82,91
185.14000,50,63,19.00000,27.00000,24.00000,25.00000,25.00000,40,22,25,101,144,85,117
185.15000,41,53,28.00000,24.00000,28.00000,41.00000,41.00000,50,13,41,98,130,85,130
185.16000,39,51,13.00000,24.00000,32.00000,30.00000,30.00000,38,20,31,92,123,98,135
185.17000,40,61,20.00000,27.00000,39.00000,37.00000,37.00000,30,9,28,113,125,60,114
185.18000,41,44,24.00000,25.00000,18.00000,37.00000,37.00000,41,18,31,93,131,84,107
185.19000,43,57,23.00000,28.00000,40.00000,28.00000,28.00000,27,11,37,88,127,80,110
185.20000,43,52,22.00000,24.00000,34.00000,41.00000,41.00000,27,16,25,110,139,74,109
185.21000,40,54,22.00000,33.00000,31.00000,43.00000,43.00000,36,27,20,112,135,78,117
185.22000,46,43,25.00000,35.00000,32.00000,44.00000,44.00000,28,8,19,118,121,85,108
185.23000,43,63,11.00000,35.00000,39.00000,37.00000,37.00000,27,22,26,106,113,80,112
185.24000,41,54,19.00000,24.00000,38.00000,58.00000,58.00000,36,10,31,82,143,70,113
185.25000,25,43,17.00000,17.00000,15.00000,45.00000,45.00000,29,19,30,95,126,76,128
185.26000,41,54,21.00000,31.00000,22.00000,49.00000,49.00000,33,16,28,100,150,103,135
