L-value,"AlmO, int (2TAPL), 1 Acm","AlmO, int (4TAPL), 1 Acm","And, int (2TAPL), 1 Acm","And, int (4TAPL), 1 Acm","AlmO, diff (2TAPL), 1 Acm","AlmO, diff (4TAPL), 1 Acm"
184.5,11.00000,17.00000,7.00000,26.00000,22,24
184.505,16.00000,11.00000,16.00000,19.00000,24,30
184.51,13.00000,9.00000,19.00000,11.00000,25,37
184.515,13.00000,22.00000,11.00000,9.00000,27,32
184.52,16.00000,20.00000,12.00000,16.00000,26,27
184.525,19.00000,22.00000,8.00000,15.00000,26,35
184.53,18.00000,21.00000,11.00000,18.00000,15,33
184.535,18.00000,27.00000,16.00000,15.00000,16,33
184.54,13.00000,24.00000,8.00000,19.00000,24,35
184.545,9.00000,19.00000,7.00000,24.00000,24,23
184.55,16.00000,27.00000,14.00000,25.00000,18,51
184.555,10.00000,19.00000,16.00000,18.00000,17,29
184.56,14.00000,19.00000,15.00000,12.00000,22,43
184.565,9.00000,21.00000,12.00000,19.00000,15,31
184.57,17.00000,25.00000,14.00000,19.00000,27,26
184.575,16.00000,25.00000,13.00000,19.00000,16,30
184.58,12.00000,23.00000,13.00000,22.00000,22,34
184.585,13.00000,20.00000,17.00000,13.00000,22,32
184.59,19.00000,17.00000,23.00000,16.00000,21,35
184.595,22.00000,13.00000,16.00000,22.00000,25,31
184.6,19.00000,22.00000,14.00000,18.00000,20,31
184.605,18.00000,13.00000,17.00000,16.00000,20,37
184.61,19.00000,24.00000,18.00000,20.00000,20,42
184.615,11.00000,26.00000,17.00000,25.00000,31,37
184.62,17.00000,14.00000,15.00000,10.00000,15,23
184.625,7.00000,13.00000,15.00000,18.00000,27,26
184.63,20.00000,21.00000,19.00000,21.00000,18,33
184.635,16.00000,15.00000,10.00000,11.00000,29,41
184.64,19.00000,11.00000,15.00000,22.00000,20,35
184.645,17.00000,23.00000,10.00000,18.00000,22,29
184.65,18.00000,18.00000,13.00000,23.00000,16,33
184.655,22.00000,15.00000,19.00000,25.00000,27,33
184.66,12.00000,16.00000,17.00000,14.00000,25,40
184.665,20.00000,21.00000,14.00000,23.00000,25,34
184.67,17.00000,20.00000,11.00000,24.00000,28,36
184.675,14.00000,18.00000,14.00000,21.00000,17,31
184.68,20.00000,16.00000,18.00000,25.00000,17,38
184.685,14.00000,22.00000,13.00000,12.00000,22,36
184.69,18.00000,20.00000,14.00000,20.00000,20,34
184.695,19.00000,16.00000,13.00000,19.00000,23,25
184.7,18.00000,23.00000,14.00000,25.00000,20,33
184.705,21.00000,21.00000,22.00000,19.00000,22,34
184.71,15.00000,26.00000,20.00000,28.00000,17,42
184.715,14.00000,29.00000,10.00000,31.00000,23,42
184.72,18.00000,29.00000,18.00000,19.00000,25,24
184.725,12.00000,20.00000,18.00000,24.00000,25,36
184.73,12.00000,17.00000,15.00000,26.00000,21,32
184.735,16.00000,28.00000,10.00000,15.00000,22,34
184.74,13.00000,23.00000,17.00000,16.00000,31,28
184.745,13.00000,25.00000,26.00000,25.00000,22,37
184.75,18.00000,17.00000,15.00000,21.00000,25,34
184.755,22.00000,25.00000,19.00000,25.00000,31,31
184.76,16.00000,20.00000,21.00000,15.00000,28,29
184.765,16.00000,29.00000,21.00000,25.00000,27,32
184.77,18.00000,29.00000,16.00000,27.00000,20,31
184.775,17.00000,19.00000,14.00000,21.00000,22,32
184.78,17.00000,17.00000,9.00000,23.00000,13,35
184.785,23.00000,27.00000,12.00000,23.00000,18,28
184.79,10.00000,23.00000,18.00000,13.00000,33,34
184.795,11.00000,24.00000,15.00000,24.00000,24,31
184.8,24.00000,22.00000,15.00000,25.00000,27,41
184.805,16.00000,29.00000,18.00000,24.00000,26,39
184.81,22.00000,27.00000,22.00000,15.00000,25,31
184.815,25.00000,32.00000,11.00000,21.00000,25,33
184.82,19.00000,27.00000,17.00000,23.00000,24,31
184.825,28.00000,24.00000,9.00000,16.00000,19,46
184.83,13.00000,24.00000,21.00000,26.00000,26,44
184.835,20.00000,27.00000,13.00000,22.00000,32,34
184.84,24.00000,25.00000,12.00000,26.00000,31,39
184.845,23.00000,28.00000,22.00000,17.00000,25,26
184.85,22.00000,24.00000,13.00000,21.00000,27,45
184.855,22.00000,33.00000,16.00000,26.00000,19,34
184.86,25.00000,35.00000,12.00000,17.00000,27,33
184.865,11.00000,35.00000,15.00000,25.00000,21,44
184.87,19.00000,24.00000,16.00000,25.00000,35,37
184.875,17.00000,17.00000,15.00000,35.00000,30,34
184.88,21.00000,31.00000,16.00000,24.00000,22,39
184.885,27.00000,28.00000,22.00000,21.00000,31,34
184.89,23.00000,27.00000,14.00000,28.00000,19,36
184.895,22.00000,19.00000,15.00000,26.00000,31,32
184.9,20.00000,27.00000,15.00000,14.00000,24,33
184.905,16.00000,26.00000,24.00000,24.00000,20,47
184.91,18.00000,26.00000,30.00000,27.00000,24,41
184.915,21.00000,27.00000,16.00000,25.00000,32,37
184.92,22.00000,24.00000,22.00000,23.00000,21,39
184.925,25.00000,34.00000,19.00000,20.00000,28,40
184.93,17.00000,20.00000,21.00000,20.00000,32,35
184.935,26.00000,26.00000,18.00000,21.00000,23,25
184.94,27.00000,34.00000,16.00000,18.00000,27,45
184.945,24.00000,49.00000,16.00000,27.00000,26,41
184.95,16.00000,33.00000,14.00000,31.00000,30,48
184.955,27.00000,17.00000,19.00000,28.00000,36,32
184.96,25.00000,43.00000,15.00000,28.00000,21,30
184.965,22.00000,25.00000,43.00000,22.00000,23,37
184.97,19.00000,35.00000,19.00000,26.00000,35,38
184.975,16.00000,34.00000,19.00000,25.00000,33,34
184.98,26.00000,35.00000,16.00000,23.00000,27,42
184.985,23.00000,21.00000,22.00000,18.00000,35,41
184.99,22.00000,29.00000,19.00000,31.00000,26,35
184.995,29.00000,28.00000,23.00000,29.00000,34,40
185,28.00000,27.00000,17.00000,27.00000,25,51
185.005,28.00000,37.00000,21.00000,26.00000,29,35
185.01,20.00000,25.00000,22.00000,21.00000,28,47
185.015,19.00000,36.00000,29.00000,29.00000,21,31
185.02,22.00000,27.00000,16.00000,25.00000,30,44
185.025,30.00000,38.00000,12.00000,28.00000,24,39
185.03,20.00000,37.00000,22.00000,18.00000,25,43
185.035,21.00000,36.00000,29.00000,34.00000,27,37
185.04,15.00000,32.00000,16.00000,20.00000,25,34
185.045,21.00000,24.00000,16.00000,31.00000,31,41
185.05,30.00000,30.00000,22.00000,13.00000,27,48
185.055,33.00000,35.00000,22.00000,40.00000,29,47
185.06,30.00000,34.00000,22.00000,25.00000,21,37
185.065,27.00000,33.00000,16.00000,38.00000,32,53
185.07,27.00000,32.00000,21.00000,20.00000,25,39
185.075,22.00000,27.00000,22.00000,25.00000,30,32
185.08,21.00000,36.00000,20.00000,26.00000,23,32
185.085,26.00000,38.00000,17.00000,26.00000,30,47
185.09,27.00000,44.00000,23.00000,28.00000,32,42
185.095,23.00000,50.00000,22.00000,22.00000,17,42
185.1,33.00000,31.00000,23.00000,31.00000,32,53
185.105,26.00000,39.00000,22.00000,31.00000,33,41
185.11,20.00000,47.00000,18.00000,28.00000,38,42
185.115,28.00000,38.00000,16.00000,20.00000,31,48
185.12,34.00000,27.00000,20.00000,35.00000,27,54
185.125,23.00000,25.00000,21.00000,38.00000,30,34
185.13,24.00000,37.00000,25.00000,21.00000,33,40
185.135,23.00000,32.00000,19.00000,33.00000,32,41
185.14,30.00000,38.00000,19.00000,28.00000,28,52
185.145,20.00000,29.00000,18.00000,19.00000,30,39
185.15,26.00000,50.00000,22.00000,35.00000,42,45
185.155,29.00000,34.00000,26.00000,30.00000,24,41
185.16,41.00000,38.00000,24.00000,24.00000,35,40
185.165,31.00000,34.00000,26.00000,31.00000,28,46
185.17,33.00000,38.00000,26.00000,25.00000,21,39
185.175,37.00000,43.00000,17.00000,27.00000,28,38
185.18,26.00000,43.00000,30.00000,27.00000,29,32
185.185,30.00000,45.00000,27.00000,30.00000,26,39
185.19,38.00000,37.00000,18.00000,36.00000,29,46
185.195,32.00000,37.00000,18.00000,33.00000,25,38
185.2,18.00000,39.00000,27.00000,29.00000,22,42
185.205,22.00000,48.00000,18.00000,37.00000,37,50
185.21,30.00000,21.00000,20.00000,33.00000,21,48
185.215,25.00000,57.00000,25.00000,35.00000,32,37
185.22,26.00000,41.00000,25.00000,27.00000,26,48
185.225,30.00000,36.00000,22.00000,37.00000,34,54
185.23,26.00000,35.00000,25.00000,39.00000,29,29
185.235,24.00000,51.00000,26.00000,29.00000,35,51
185.24,28.00000,42.00000,26.00000,33.00000,30,46
185.245,30.00000,48.00000,19.00000,30.00000,43,42
185.25,19.00000,43.00000,30.00000,32.00000,31,39
185.255,29.00000,57.00000,33.00000,23.00000,40,52
185.26,29.00000,36.00000,21.00000,40.00000,36,42
185.265,29.00000,35.00000,26.00000,35.00000,30,51
185.27,37.00000,38.00000,20.00000,32.00000,19,51
185.275,33.00000,37.00000,23.00000,34.00000,33,56
185.28,24.00000,39.00000,28.00000,37.00000,22,37
185.285,29.00000,44.00000,22.00000,29.00000,28,62
185.29,37.00000,49.00000,20.00000,45.00000,45,42
185.295,34.00000,47.00000,23.00000,32.00000,33,46
185.3,30.00000,46.00000,26.00000,33.00000,34,48
185.305,20.00000,55.00000,21.00000,40.00000,34,38
185.31,29.00000,35.00000,26.00000,30.00000,34,45
185.315,45.00000,46.00000,31.00000,42.00000,28,45
185.32,30.00000,35.00000,28.00000,36.00000,31,44
185.325,41.00000,46.00000,24.00000,42.00000,36,48
185.33,35.00000,54.00000,17.00000,40.00000,38,51
185.335,36.00000,44.00000,29.00000,37.00000,35,48
185.34,34.00000,48.00000,22.00000,27.00000,22,48
185.345,39.00000,50.00000,22.00000,38.00000,31,40
185.35,43.00000,62.00000,18.00000,31.00000,37,38
185.355,32.00000,37.00000,24.00000,43.00000,36,51
185.36,30.00000,46.00000,33.00000,43.00000,37,51
185.365,25.00000,48.00000,20.00000,36.00000,30,47
185.37,41.00000,42.00000,29.00000,35.00000,26,43
185.375,42.00000,42.00000,20.00000,39.00000,27,47
185.38,33.00000,44.00000,23.00000,41.00000,28,52
185.385,41.00000,40.00000,29.00000,32.00000,48,43
185.39,28.00000,48.00000,26.00000,45.00000,41,54
185.395,42.00000,57.00000,25.00000,32.00000,30,36
185.4,40.00000,67.00000,36.00000,43.00000,30,51
185.405,34.00000,52.00000,27.00000,40.00000,30,60
185.41,33.00000,53.00000,27.00000,47.00000,35,54
185.415,34.00000,50.00000,25.00000,41.00000,40,65
185.42,43.00000,52.00000,16.00000,39.00000,35,49
185.425,35.00000,56.00000,30.00000,42.00000,36,44
185.43,41.00000,42.00000,20.00000,46.00000,36,47
185.435,34.00000,36.00000,28.00000,56.00000,31,64
185.44,47.00000,54.00000,19.00000,48.00000,35,49
185.445,26.00000,44.00000,25.00000,52.00000,38,53
185.45,35.00000,37.00000,24.00000,49.00000,33,54
185.455,44.00000,49.00000,30.00000,44.00000,39,50
185.46,31.00000,54.00000,39.00000,47.00000,35,42
185.465,26.00000,64.00000,24.00000,48.00000,31,53
185.47,31.00000,58.00000,44.00000,47.00000,46,43
185.475,34.00000,57.00000,27.00000,50.00000,39,51
185.48,38.00000,58.00000,47.00000,53.00000,30,50
185.485,37.00000,49.00000,37.00000,50.00000,32,56
185.49,42.00000,57.00000,29.00000,42.00000,33,42
185.495,29.00000,52.00000,34.00000,50.00000,31,58
185.5,40.00000,57.00000,41.00000,56.00000,30,63
185.505,34.00000,45.00000,32.00000,49.00000,37,50
185.51,41.00000,53.00000,27.00000,56.00000,37,45
185.515,48.00000,53.00000,38.00000,66.00000,37,46
185.52,37.00000,66.00000,34.00000,66.00000,35,50
185.525,38.00000,54.00000,31.00000,81.00000,27,52
185.53,35.00000,50.00000,44.00000,51.00000,31,46
185.535,48.00000,73.00000,43.00000,55.00000,40,56
185.54,41.00000,68.00000,26.00000,57.00000,31,62
185.545,44.00000,75.00000,31.00000,69.00000,33,60
185.55,30.00000,60.00000,47.00000,54.00000,38,45
185.555,36.00000,44.00000,37.00000,69.00000,29,59
185.56,39.00000,62.00000,33.00000,58.00000,30,51
185.565,40.00000,54.00000,29.00000,70.00000,39,58
185.57,33.00000,55.00000,38.00000,68.00000,34,55
185.575,39.00000,70.00000,40.00000,49.00000,40,63
185.58,25.00000,79.00000,29.00000,85.00000,36,47
185.585,39.00000,65.00000,42.00000,69.00000,31,59
185.59,52.00000,63.00000,47.00000,87.00000,33,44
185.595,33.00000,71.00000,38.00000,66.00000,47,56
185.6,39.00000,77.00000,48.00000,76.00000,32,66
185.605,39.00000,70.00000,33.00000,67.00000,42,47
185.61,44.00000,88.00000,46.00000,57.00000,30,47
185.615,41.00000,74.00000,51.00000,73.00000,35,67
185.62,44.00000,77.00000,38.00000,79.00000,34,47
185.625,54.00000,70.00000,39.00000,86.00000,37,51
185.63,49.00000,66.00000,50.00000,82.00000,36,51
185.635,44.00000,72.00000,46.00000,84.00000,37,63
185.64,42.00000,67.00000,44.00000,82.00000,35,60
185.645,51.00000,83.00000,48.00000,69.00000,43,46
185.65,46.00000,81.00000,42.00000,95.00000,47,58
185.655,49.00000,61.00000,47.00000,93.00000,29,61
185.66,42.00000,87.00000,33.00000,98.00000,36,61
185.665,66.00000,72.00000,34.00000,85.00000,43,47
185.67,39.00000,71.00000,41.00000,91.00000,39,56
185.675,39.00000,86.00000,57.00000,89.00000,42,68
185.68,46.00000,101.00000,48.00000,80.00000,36,50
185.685,45.00000,82.00000,47.00000,76.00000,38,68
185.69,42.00000,74.00000,52.00000,89.00000,39,57
185.695,44.00000,98.00000,42.00000,107.00000,35,58
185.7,38.00000,77.00000,54.00000,92.00000,30,52
185.705,50.00000,75.00000,37.00000,94.00000,50,50
185.71,49.00000,72.00000,70.00000,85.00000,42,46
185.715,46.00000,80.00000,52.00000,104.00000,51,52
185.72,50.00000,85.00000,44.00000,95.00000,49,57
185.725,55.00000,89.00000,55.00000,110.00000,45,60
185.73,47.00000,74.00000,56.00000,101.00000,37,57
185.735,38.00000,88.00000,50.00000,89.00000,41,63
185.74,54.00000,83.00000,64.00000,103.00000,50,50
185.745,49.00000,91.00000,68.00000,94.00000,49,54
