Point,Comment,Inspected,Inspection comment,SiO2(Mass%),TiO2(Mass%),Al2O3(Mass%),Cr2O3(Mass%),FeO(Mass%),MnO(Mass%),NiO(Mass%),MgO(Mass%),CaO(Mass%),Na2O(Mass%),K2O(Mass%),P2O5(Mass%),Total(Mass%),SiO2(Norm%),TiO2(Norm%),Al2O3(Norm%),Cr2O3(Norm%),FeO(Norm%),MnO(Norm%),NiO(Norm%),MgO(Norm%),CaO(Norm%),Na2O(Norm%),K2O(Norm%),P2O5(Norm%),Total(Norm%),SiO2(Cation),TiO2(Cation),Al2O3(Cation),Cr2O3(Cation),FeO(Cation),MnO(Cation),NiO(Cation),MgO(Cation),CaO(Cation),Na2O(Cation),K2O(Cation),P2O5(Cation),Total(Cation),SiO2(mole%),TiO2(mole%),Al2O3(mole%),Cr2O3(mole%),FeO(mole%),MnO(mole%),NiO(mole%),MgO(mole%),CaO(mole%),Na2O(mole%),K2O(mole%),P2O5(mole%),Total(mole%),X,Y,Z,SiO2(K-ratio),TiO2(K-ratio),Al2O3(K-ratio),Cr2O3(K-ratio),FeO(K-ratio),MnO(K-ratio),NiO(K-ratio),MgO(K-ratio),CaO(K-ratio),Na2O(K-ratio),K2O(K-ratio),P2O5(K-ratio),Total(K-ratio),SiO2(K-raw),TiO2(K-raw),Al2O3(K-raw),Cr2O3(K-raw),FeO(K-raw),MnO(K-raw),NiO(K-raw),MgO(K-raw),CaO(K-raw),Na2O(K-raw),K2O(K-raw),P2O5(K-raw),Total(K-raw),Na(Net),Mg(Net),Al(Net),Si(Net),Cr(Net),Ti(Net),Ca(Net),K(Net),P(Net),Ni(Net),Fe(Net),Mn(Net),Na(BG-),Mg(BG-),Al(BG-),Si(BG-),Cr(BG-),Ti(BG-),Ca(BG-),K(BG-),P(BG-),Ni(BG-),Fe(BG-),Mn(BG-),Na(BG+),Mg(BG+),Al(BG+),Si(BG+),Cr(BG+),Ti(BG+),Ca(BG+),K(BG+),P(BG+),Ni(BG+),Fe(BG+),Mn(BG+),Na(L-value),Mg(L-value),Al(L-value),Si(L-value),Cr(L-value),Ti(L-value),Ca(L-value),K(L-value),P(L-value),Ni(L-value),Fe(L-value),Mn(L-value),Current,Na(Error%),Mg(Error%),Al(Error%),Si(Error%),Cr(Error%),Ti(Error%),Ca(Error%),K(Error%),P(Error%),Ni(Error%),Fe(Error%),Mn(Error%),Total(Error%),Na(D.L.),Mg(D.L.),Al(D.L.),Si(D.L.),Cr(D.L.),Ti(D.L.),Ca(D.L.),K(D.L.),P(D.L.),Ni(D.L.),Fe(D.L.),Mn(D.L.), ,,Bi(Net),Ar(Net),Br(Net),As(Net)
1,STD1_12_Hypersthene_p1 Grid 001x001,Hypersthene_12_grid1,is on STD1.,53.39,0.122,1.0827,0.7298,15.47,0.5257,0,26.38,1.51,0.0239,0.0025,0.0119,99.2485,53.7943,0.1229,1.0909,0.7353,15.5871,0.5297,0,26.5797,1.5214,0.0241,0.0025,0.012,100,7.808,0.0134,0.1866,0.0844,1.892,0.0651,0,5.751,0.237,0.0068,0.0005,0.0015,16.0463,49.0879,0.0844,0.5867,0.2653,11.8954,0.4094,0,36.1559,1.4876,0.0213,0.0015,0.0046,100,-33.7876,-1.082,10.6805,0,0,0,0,0,0,0,0,0,0,0,0,0,92.329,0.3026,0.8542,1.5428,101.92,1.0326,0,98.383,3.144,0.1376,0.0097,0.0257,299.6812,108.4,206059.7,9238,483340,15807.9,2039.3,31347.3,51.7,28.4,-70,89543.1,2831.4,288.5,588.6,1205.6,0,5709.5,3041.5,1745.9,1310.7,96.7,2116.1,1417.4,1013.8,186.8,628.7,675.3,1254,5015.8,2714.7,1565.8,1115.6,81.7,1819.2,1259,893.8,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.97,59.86,0.43,1.79,0.28,2.3,9.68,1.33,215.38,110.36,300,0.42,4.71,706.54,110,87,61,68,103,102,62,49,94,187,109,145,1177, ,1392.4,1532.4,1619.1,1997.7
2,STD1_12_Hypersthene_p1 Grid 001x002,Hypersthene_12_grid1,,53.48,0.1173,1.0766,0.7234,15.49,0.5101,0.0009,26.32,1.52,0.0056,0.0023,0,99.2462,53.8862,0.1182,1.0848,0.7289,15.6077,0.514,0.0009,26.5199,1.5315,0.0056,0.0023,0,100,7.819,0.0129,0.1855,0.0836,1.894,0.0632,0.0001,5.736,0.238,0.0016,0.0004,0,16.0343,49.1784,0.0811,0.5835,0.263,11.9127,0.3973,0.0007,36.0793,1.4977,0.005,0.0013,0,100,-33.7876,-1.072,10.6805,48.0569,0.1173,0.8496,0.6946,15.5381,0.4713,0.0008,26.2957,1.5102,0.0047,0.0021,0,93.5413,92.506,0.2909,0.8497,1.5293,102.09,1.0019,0.0008,98.155,3.166,0.0321,0.0088,0,299.6305,25,205581.5,9189,484268.3,15668.3,1960.6,31566.8,46.7,-11.7,5,89693,2746.5,325.4,615.7,1214.8,0,5891.9,3075.3,1820.5,1326.6,111.8,1990.7,1388.3,1031.2,226.9,644.1,699.2,1219.8,5039.2,2798.3,1541.8,1184.7,110.1,1815.4,1253.1,909.4,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.93,255.93,0.43,1.8,0.28,2.33,10.1,1.33,242.2,300,2205.18,0.42,4.83,3024.83,119,88,62,67,104,103,62,50,106,184,109,146,1200, ,1396.6,1555.2,1625.2,2004
3,STD1_12_Hypersthene_p1 Grid 001x003,Hypersthene_12_grid1,,53.62,0.119,1.0871,0.7318,15.44,0.5288,0,26.35,1.53,0.0171,0.0038,0.0086,99.4362,53.924,0.1197,1.0933,0.7359,15.5275,0.5318,0,26.4994,1.5387,0.0172,0.0038,0.0086,100,7.823,0.0131,0.1869,0.0844,1.883,0.0653,0,5.729,0.239,0.0049,0.0007,0.0011,16.0304,49.2188,0.0821,0.5881,0.2656,11.853,0.4112,0,36.0557,1.5048,0.0152,0.0022,0.0033,100,-33.7876,-1.062,10.6805,48.2049,0.119,0.8581,0.7025,15.4818,0.4885,0,26.3362,1.5164,0.0146,0.0036,0.0067,93.7322,92.791,0.2951,0.8582,1.5466,101.72,1.0385,0,98.306,3.179,0.0989,0.0149,0.0186,299.8668,78.4,205897.9,9280.7,485761,15846.1,1989.3,31690.6,78.4,21.7,-20,89369.2,2847.1,313.8,582.4,1216.6,0,5782.7,2997.3,1673.9,1286.7,116.8,1967.6,1401.9,996.3,233.6,645.9,714.3,1265,4868.2,2733.6,1587.1,1186.6,70.1,1905.9,1275,897.9,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.92,86.71,0.43,1.8,0.28,2.3,9.89,1.32,143.11,151.29,300,0.42,4.69,702.24,118,87,62,68,102,101,61,50,96,186,110,145,1186, ,1396.9,1535.4,1627.2,1989.3
4,STD1_12_Hypersthene_p1 Grid 002x001,Hypersthene_12_grid1,,53.57,0.113,1.0857,0.7434,15.52,0.5244,0.0047,26.23,1.5,0.0108,0.0039,0.0062,99.3121,53.9411,0.1138,1.0932,0.7485,15.6275,0.528,0.0047,26.4117,1.5104,0.0109,0.0039,0.0062,100,7.827,0.0124,0.187,0.0859,1.896,0.0649,0.0006,5.713,0.235,0.0031,0.0007,0.0008,16.0264,49.2642,0.0782,0.5884,0.2703,11.9365,0.4085,0.0035,35.9581,1.4781,0.0096,0.0023,0.0024,100,-33.7776,-1.082,10.6805,48.1514,0.1131,0.8571,0.7138,15.5623,0.4846,0.0042,26.1998,1.4911,0.0092,0.0036,0.0048,93.5951,92.688,0.2805,0.8572,1.5716,102.249,1.0301,0.0042,97.797,3.126,0.0622,0.0153,0.0135,299.6946,50,204832.5,9270.1,485222.4,16102.3,1889.7,31164.8,81.7,15,28.3,89833.4,2824.5,325,629.9,1213.1,0,5760.7,3107.8,1774.7,1218.1,106.7,1959.7,1409.8,984.8,241.6,616.6,713.2,1253.1,5024.2,2792.9,1596.4,1158.1,88.3,1749.7,1333.1,828.2,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.01,136.54,0.43,1.8,0.28,2.28,10.44,1.33,136.69,210.72,430.39,0.41,4.67,935.98,120,87,62,68,103,103,62,49,98,182,111,141,1186, ,1413.1,1533.1,1614.7,2006.3
5,STD1_12_Hypersthene_p1 Grid 002x002,Hypersthene_12_grid1,,53.58,0.12,1.1068,0.7485,15.49,0.517,0,26.33,1.51,0.0025,0.0036,0,99.4084,53.8989,0.1207,1.1134,0.753,15.5822,0.5201,0,26.4867,1.519,0.0025,0.0036,0,100,7.819,0.0132,0.1904,0.0864,1.891,0.0639,0,5.728,0.235,0.0007,0.0007,0,16.0283,49.2084,0.0829,0.5991,0.2718,11.8977,0.4022,0,36.0477,1.486,0.0022,0.0021,0,100,-33.7776,-1.072,10.6805,48.155,0.12,0.8736,0.7187,15.5402,0.4776,0,26.3137,1.4954,0.0021,0.0033,0,93.6997,92.695,0.2976,0.8737,1.5823,102.104,1.0154,0,98.222,3.135,0.0142,0.0139,0,299.9531,11.7,205723.6,9449.2,485257.9,16212.7,2004.7,31253.6,73.4,-5,-5,89706.2,2784.2,333.8,609.3,1191.8,0,5997.3,3047.9,1812.7,1285.3,95.1,2001.3,1398.8,1014.9,258.7,620.9,667.7,1223.5,4937.4,2765.8,1580.7,1153.4,105.2,1802.7,1310.3,879.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.91,595.85,0.43,1.77,0.28,2.27,9.87,1.33,151.55,300,300,0.42,4.76,1368.53,123,87,61,67,104,102,63,49,101,184,110,145,1196, ,1397.1,1540.6,1632.4,1996.3
6,STD1_12_Hypersthene_p1 Grid 002x003,Hypersthene_12_grid1,,53.61,0.1234,1.097,0.756,15.52,0.5071,0.0017,26.37,1.54,0.0163,0.0032,0.011,99.5557,53.8493,0.124,1.1019,0.7594,15.5893,0.5094,0.0017,26.4877,1.5469,0.0164,0.0032,0.011,100,7.814,0.0135,0.1885,0.0871,1.892,0.0626,0.0002,5.73,0.241,0.0046,0.0006,0.0014,16.0355,49.1649,0.0851,0.5929,0.2741,11.9036,0.3939,0.0013,36.0503,1.5133,0.0145,0.0019,0.0043,100,-33.7776,-1.062,10.6805,48.1867,0.1235,0.8658,0.7258,15.5653,0.4685,0.0015,26.3496,1.5297,0.0139,0.003,0.0086,93.8418,92.756,0.3061,0.8659,1.598,102.269,0.9959,0.0015,98.356,3.207,0.094,0.0124,0.0239,300.4857,75.1,206005,9365.6,485574.3,16372.3,2063.4,31968.3,65.1,26.7,10,89849.7,2729.6,325.5,632.7,1230.4,0,5707.9,3145.2,1801.3,1313.9,78.5,1973.3,1429.1,1023.4,218.7,642.7,681.1,1237.1,4934.9,2752.9,1624.4,1180.3,95.2,1789.7,1263.8,856.4,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.9,90.32,0.43,1.78,0.28,2.25,9.68,1.32,172.45,118.26,1188.07,0.41,4.82,1590.07,118,89,62,68,102,103,63,50,94,183,110,144,1186, ,1405.7,1540.9,1617.7,1998.3
7,STD1_12_Hypersthene_p1 Grid 003x001,Hypersthene_12_grid1,,53.48,0.1181,1.1007,0.7779,15.56,0.5208,0.0133,26.27,1.57,0.0169,0.0028,0.0059,99.4364,53.7831,0.1188,1.1069,0.7823,15.6482,0.5238,0.0134,26.4189,1.5789,0.017,0.0028,0.0059,100,7.81,0.013,0.1895,0.0898,1.9,0.0644,0.0016,5.719,0.245,0.0048,0.0005,0.0007,16.0383,49.1302,0.0816,0.5959,0.2825,11.9548,0.4053,0.0098,35.9755,1.5454,0.0151,0.0016,0.0023,100,-33.7676,-1.082,10.6805,48.0704,0.1182,0.8687,0.7471,15.6099,0.4813,0.0118,26.2338,1.5579,0.0144,0.0026,0.0046,93.7206,92.532,0.293,0.8688,1.6448,102.562,1.0231,0.0118,97.924,3.266,0.0972,0.0109,0.0127,300.2463,76.7,205098.4,9396.1,484402.7,16851.8,1973.6,32564.2,58.4,15,76.7,90108.5,2804.5,280.3,614,1227.9,0,5727.4,3079.8,1795.1,1309.6,91.8,1923.6,1374.7,1044.4,241.9,657.3,695.7,1261.3,4934.9,2767.8,1589.9,1186.2,105.1,1800.1,1272.9,897.6,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.94,86.91,0.43,1.78,0.28,2.2,10.02,1.3,195.45,227.68,155.61,0.41,4.76,686.83,116,89,62,68,102,102,62,50,100,182,109,146,1188, ,1403.1,1546.6,1626.6,2005.3
8,STD1_12_Hypersthene_p1 Grid 003x002,Hypersthene_12_grid1,,53.58,0.1217,1.0772,0.7652,15.55,0.5272,0,26.22,1.54,0.0158,0.0036,0.0048,99.4055,53.9004,0.1224,1.0836,0.7698,15.643,0.5304,0,26.3768,1.5492,0.0159,0.0036,0.0048,100,7.823,0.0134,0.1854,0.0883,1.899,0.0652,0,5.707,0.241,0.0045,0.0007,0.0006,16.0281,49.239,0.0841,0.5834,0.278,11.9512,0.4104,0,35.9194,1.5164,0.0141,0.0021,0.0019,100,-33.7676,-1.072,10.6805,48.1753,0.1218,0.8504,0.7348,15.5956,0.4871,0,26.1878,1.5288,0.0135,0.0034,0.0037,93.7022,92.734,0.3019,0.8505,1.6179,102.468,1.0355,0,97.752,3.205,0.0913,0.0142,0.0104,300.0807,71.8,204737.9,9197,485460.8,16576,2035.1,31956.6,75.1,11.7,-26.7,90025,2838.1,290.5,637.7,1133.6,0,5794.7,3031.7,1742.9,1267.1,86.8,1971.6,1385.6,986.6,225.4,667.8,701.2,1203.7,4853.1,2752.9,1537.6,1210.3,98.5,1848.1,1252.1,848.1,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.9,91.3,0.43,1.8,0.28,2.23,9.73,1.32,149.36,268.83,300,0.41,4.67,830.36,115,90,61,67,102,102,62,50,97,184,109,142,1181, ,1400.7,1554.3,1631.1,1996.7
9,STD1_12_Hypersthene_p1 Grid 003x003,Hypersthene_12_grid1,,53.4,0.1237,1.0692,0.7452,15.52,0.5232,0,26.27,1.55,0.0191,0.0012,0.009,99.2306,53.814,0.1247,1.0775,0.751,15.6403,0.5273,0,26.4737,1.562,0.0192,0.0012,0.0091,100,7.813,0.0136,0.1844,0.0862,1.899,0.0648,0,5.729,0.243,0.0054,0.0002,0.0011,16.0397,49.1327,0.0856,0.5798,0.2711,11.9425,0.4078,0,36.0312,1.5281,0.017,0.0007,0.0035,100,-33.7676,-1.062,10.6805,47.9914,0.1238,0.8437,0.7156,15.5699,0.4834,0,26.2346,1.5393,0.0162,0.0011,0.007,93.5261,92.38,0.307,0.8438,1.5756,102.299,1.0276,0,97.927,3.227,0.11,0.0045,0.0196,299.7211,86.7,205104.3,9125.9,483606.3,16143.5,2068.4,32171.8,23.4,21.7,-30,89876.6,2817.4,320.3,642.2,1252.7,0,5751.5,2965.8,1814.8,1279.4,101.8,2070.1,1427.9,999.2,245.2,623.8,670.6,1244.4,5090.9,2777.3,1579.7,1177.7,80.1,1803.2,1319.4,849,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.95,79.72,0.43,1.81,0.28,2.28,9.56,1.31,465.93,143.69,300,0.41,4.7,1010.12,120,88,62,68,103,101,63,50,95,186,111,143,1190, ,1391.2,1529.6,1614.7,2013.3
10,dr1 Line 001,dr1 Line 001,,38.52,0.065,21.81,0.0293,27.51,2.08,0.0215,8.98,1.59,0.0011,0.0007,0.0464,100.654,38.2697,0.0646,21.6683,0.0291,27.3313,2.0665,0.0214,8.9217,1.5797,0.0011,0.0007,0.0461,100,5.937,0.0075,3.962,0.0036,3.546,0.272,0.0027,2.064,0.262,0.0003,0.0001,0.0061,16.0633,42.1758,0.0535,14.0736,0.0127,25.1909,1.9291,0.0189,14.6569,1.8654,0.0012,0.0005,0.0215,100,-15.6224,-16.7039,11.594,33.1862,0.0671,18.1252,0.0296,28.1728,1.9602,0.0194,8.3349,1.6118,0.0009,0.0006,0.0369,91.5455,63.881,0.1664,18.127,0.0651,185.104,4.167,0.0194,31.112,3.379,0.0059,0.0026,0.1028,306.1322,5,65163.6,196046.4,334414.2,667.6,1121.5,33681.6,13.4,116.8,126.8,162626.8,11423.6,322.1,647.5,1265,0,6693.9,3407.9,1987.7,1373.5,123.5,2284.7,1565.4,1151.5,245.3,510.7,799.4,1206.6,5572.4,3084.1,1777.4,1256.7,98.5,2027.7,1527,936.3,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,59.92,1396.67,0.77,0.36,0.34,38.12,17.42,1.29,827.21,35.3,102.43,0.31,1.97,2422.19,121,83,65,67,110,108,66,51,105,196,118,152,1242, ,2646.9,2132.8,2984,2711.9
