L-value,AlmO - 2TAPL,AlmO - 4TAPL,And - 2TAPL,And - 4TAPL
184.5,95,142,91,111
184.502,95,106,71,112
184.504,102,122,73,109
184.506,91,121,76,108
184.508,90,120,79,125
184.51,97,110,88,83
184.512,88,99,84,126
184.514,96,93,86,102
184.516,89,128,67,108
184.518,93,121,91,93
184.52,76,125,91,113
184.522,91,116,87,118
184.524,109,123,81,119
184.526,94,117,83,111
184.528,93,117,89,113
184.53,88,119,95,113
184.532,88,122,99,98
184.534,92,117,87,108
184.536,86,109,85,89
184.538,85,115,91,105
184.54,104,93,93,119
184.542,104,128,70,99
184.544,98,120,76,113
184.546,92,112,81,109
184.548,84,109,82,104
184.55,93,117,81,130
184.552,98,116,82,118
184.554,90,137,90,109
184.556,93,114,74,124
184.558,91,126,72,113
184.56,77,136,91,121
184.562,87,130,80,111
184.564,89,111,90,118
184.566,93,119,86,118
184.568,91,133,107,113
184.57,83,123,81,122
184.572,96,111,83,118
184.574,93,110,90,96
184.576,73,123,101,143
184.578,91,117,95,113
184.58,98,115,91,109
184.582,103,129,97,116
184.584,105,117,83,103
184.586,75,133,78,114
184.588,85,104,91,108
184.59,100,135,99,123
184.592,99,142,85,100
184.594,93,131,71,114
184.596,95,127,96,110
184.598,110,123,91,110
184.6,94,137,88,103
184.602,89,113,101,99
184.604,90,118,76,129
184.606,91,140,97,125
184.608,76,127,67,118
184.61,113,109,97,119
184.612,90,149,97,106
184.614,86,145,81,103
184.616,93,127,93,130
184.618,103,124,96,111
184.62,88,125,99,98
184.622,106,137,87,107
184.624,88,127,81,108
184.626,73,150,84,117
184.628,100,122,92,110
184.63,90,154,69,103
184.632,87,128,75,98
184.634,83,150,84,93
184.636,85,125,96,131
184.638,98,124,82,134
184.64,91,119,77,127
184.642,102,108,77,130
184.644,84,125,97,122
184.646,91,153,90,111
184.648,72,123,95,107
184.65,94,116,74,110
184.652,91,118,85,128
184.654,85,145,96,129
184.656,98,120,81,117
184.658,95,135,96,109
184.66,90,117,99,130
184.662,92,118,85,100
184.664,101,131,103,114
184.666,92,118,93,128
184.668,103,121,87,99
184.67,85,131,97,129
184.672,108,137,95,111
184.674,94,110,95,123
184.676,90,160,84,123
184.678,91,132,100,104
184.68,88,125,94,113
184.682,105,125,80,119
184.684,108,141,98,122
184.686,88,124,87,133
184.688,100,122,73,112
184.69,104,144,81,104
184.692,102,122,76,108
184.694,101,109,104,116
184.696,100,133,82,106
184.698,81,127,92,87
184.7,86,136,86,127
184.702,87,130,84,103
184.704,89,124,85,119
184.706,106,139,104,130
184.708,94,122,105,105
184.71,106,123,70,125
184.712,86,151,93,118
184.714,99,120,81,112
184.716,93,111,99,132
184.718,104,143,89,120
184.72,102,130,72,114
184.722,94,124,88,127
184.724,86,134,98,113
184.726,82,125,97,126
184.728,91,150,95,125
184.73,91,113,81,124
184.732,96,142,102,107
184.734,95,124,105,111
184.736,103,150,86,138
184.738,82,136,87,123
184.74,89,137,76,124
184.742,102,123,97,121
184.744,100,123,87,128
184.746,110,134,79,118
184.748,91,145,83,122
184.75,95,143,87,126
184.752,96,127,74,128
184.754,101,127,82,112
184.756,103,122,87,136
184.758,100,144,101,103
184.76,85,155,74,141
184.762,79,136,86,113
184.764,93,135,90,116
184.766,99,127,92,123
184.768,115,134,92,124
184.77,92,113,75,105
184.772,97,136,92,105
184.774,92,131,92,122
