L-value,AlmO - 2TAPL,AlmO - 4TAPL,And - 2TAPL,And - 4TAPL
184.5,85,184.5,91,111
184.502,96,184.502,71,112
184.504,77,184.504,73,109
184.506,83,184.506,76,108
184.508,91,184.508,79,125
184.51,100,184.51,88,83
184.512,97,184.512,84,126
184.514,89,184.514,86,102
184.516,82,184.516,67,108
184.518,92,184.518,91,93
184.52,101,184.52,91,113
184.522,89,184.522,87,118
184.524,80,184.524,81,119
184.526,79,184.526,83,111
184.528,78,184.528,89,113
184.53,82,184.53,95,113
184.532,90,184.532,99,98
184.534,80,184.534,87,108
184.536,87,184.536,85,89
184.538,89,184.538,91,105
184.54,78,184.54,93,119
184.542,80,184.542,70,99
184.544,83,184.544,76,113
184.546,80,184.546,81,109
184.548,71,184.548,82,104
184.55,83,184.55,81,130
184.552,83,184.552,82,118
184.554,77,184.554,90,109
184.556,92,184.556,74,124
184.558,101,184.558,72,113
184.56,87,184.56,91,121
184.562,98,184.562,80,111
184.564,86,184.564,90,118
184.566,102,184.566,86,118
184.568,90,184.568,107,113
184.57,77,184.57,81,122
184.572,96,184.572,83,118
184.574,91,184.574,90,96
184.576,82,184.576,101,143
184.578,98,184.578,95,113
184.58,73,184.58,91,109
184.582,87,184.582,97,116
184.584,95,184.584,83,103
184.586,81,184.586,78,114
184.588,104,184.588,91,108
184.59,95,184.59,99,123
184.592,82,184.592,85,100
184.594,76,184.594,71,114
184.596,78,184.596,96,110
184.598,84,184.598,91,110
184.6,80,184.6,88,103
184.602,76,184.602,101,99
184.604,100,184.604,76,129
184.606,94,184.606,97,125
184.608,80,184.608,67,118
184.61,93,184.61,97,119
184.612,82,184.612,97,106
184.614,88,184.614,81,103
184.616,81,184.616,93,130
184.618,90,184.618,96,111
184.62,86,184.62,99,98
184.622,95,184.622,87,107
184.624,95,184.624,81,108
184.626,109,184.626,84,117
184.628,81,184.628,92,110
184.63,101,184.63,69,103
184.632,99,184.632,75,98
184.634,101,184.634,84,93
184.636,93,184.636,96,131
184.638,95,184.638,82,134
184.64,94,184.64,77,127
184.642,102,184.642,77,130
184.644,88,184.644,97,122
184.646,104,184.646,90,111
184.648,91,184.648,95,107
184.65,83,184.65,74,110
184.652,102,184.652,85,128
184.654,111,184.654,96,129
184.656,97,184.656,81,117
184.658,92,184.658,96,109
184.66,90,184.66,99,130
184.662,80,184.662,85,100
184.664,94,184.664,103,114
184.666,69,184.666,93,128
184.668,101,184.668,87,99
184.67,92,184.67,97,129
184.672,89,184.672,95,111
184.674,76,184.674,95,123
184.676,85,184.676,84,123
184.678,102,184.678,100,104
184.68,90,184.68,94,113
184.682,90,184.682,80,119
184.684,112,184.684,98,122
184.686,95,184.686,87,133
184.688,105,184.688,73,112
184.69,107,184.69,81,104
184.692,90,184.692,76,108
184.694,96,184.694,104,116
184.696,88,184.696,82,106
184.698,86,184.698,92,87
184.7,108,184.7,86,127
184.702,114,184.702,84,103
184.704,97,184.704,85,119
184.706,110,184.706,104,130
184.708,99,184.708,105,105
184.71,106,184.71,70,125
184.712,96,184.712,93,118
184.714,104,184.714,81,112
184.716,103,184.716,99,132
184.718,74,184.718,89,120
184.72,92,184.72,72,114
184.722,95,184.722,88,127
184.724,73,184.724,98,113
184.726,96,184.726,97,126
184.728,92,184.728,95,125
184.73,76,184.73,81,124
184.732,99,184.732,102,107
184.734,107,184.734,105,111
184.736,100,184.736,86,138
184.738,99,184.738,87,123
184.74,97,184.74,76,124
184.742,96,184.742,97,121
184.744,90,184.744,87,128
184.746,108,184.746,79,118
184.748,102,184.748,83,122
184.75,95,184.75,87,126
184.752,80,184.752,74,128
184.754,104,184.754,82,112
184.756,100,184.756,87,136
184.758,87,184.758,101,103
184.76,96,184.76,74,141
184.762,92,184.762,86,113
184.764,95,184.764,90,116
184.766,90,184.766,92,123
184.768,92,184.768,92,124
184.77,94,184.77,75,105
184.772,102,184.772,92,105
184.774,73,184.774,92,122
184.776,98,184.776,96,122
184.778,105,184.778,77,121
184.78,96,184.78,91,122
184.782,99,184.782,107,123
184.784,116,184.784,93,100
184.786,113,184.786,94,121
184.788,89,184.788,104,117
184.79,109,184.79,105,112
184.792,90,184.792,88,140
184.794,74,184.794,117,122
184.796,95,184.796,103,121
184.798,87,184.798,84,116
184.8,109,184.8,93,137
184.802,103,184.802,98,120
184.804,89,184.804,89,119
184.806,102,184.806,101,127
184.808,92,184.808,94,140
184.81,85,184.81,90,137
184.812,103,184.812,93,142
184.814,101,184.814,106,137
184.816,114,184.816,96,125
184.818,91,184.818,86,134
184.82,92,184.82,82,124
184.822,87,184.822,95,154
184.824,103,184.824,105,143
184.826,89,184.826,93,123
184.828,84,184.828,103,134
184.83,96,184.83,91,125
184.832,97,184.832,91,103
184.834,108,184.834,83,117
184.836,87,184.836,107,119
184.838,112,184.838,85,109
184.84,100,184.84,110,118
184.842,98,184.842,88,105
184.844,94,184.844,85,113
184.846,108,184.846,97,117
184.848,94,184.848,85,121
184.85,98,184.85,105,130
184.852,111,184.852,104,138
184.854,101,184.854,91,123
184.856,82,184.856,79,111
184.858,100,184.858,85,130
184.86,103,184.86,88,141
184.862,99,184.862,88,125
184.864,88,184.864,97,103
184.866,109,184.866,95,140
184.868,122,184.868,83,121
184.87,106,184.87,96,115
184.872,88,184.872,100,129
184.874,119,184.874,103,103
184.876,115,184.876,112,135
184.878,100,184.878,79,101
184.88,98,184.88,81,117
184.882,108,184.882,105,127
184.884,82,184.884,90,103
184.886,87,184.886,100,121
184.888,92,184.888,67,109
184.89,106,184.89,94,139
184.892,107,184.892,91,112
184.894,105,184.894,80,114
184.896,109,184.896,99,125
184.898,85,184.898,88,125
184.9,113,184.9,104,132
184.902,110,184.902,105,133
184.904,122,184.904,100,120
184.906,121,184.906,90,108
184.908,107,184.908,105,123
184.91,100,184.91,105,134
184.912,127,184.912,103,116
184.914,97,184.914,97,127
184.916,96,184.916,88,108
184.918,112,184.918,98,140
184.92,97,184.92,102,128
184.922,125,184.922,102,117
184.924,83,184.924,93,124
184.926,106,184.926,83,130
184.928,126,184.928,106,113
184.93,99,184.93,97,127
184.932,105,184.932,96,112
184.934,88,184.934,82,147
184.936,94,184.936,105,123
184.938,87,184.938,94,140
184.94,107,184.94,86,101
184.942,90,184.942,93,113
184.944,101,184.944,102,138
184.946,109,184.946,105,131
184.948,99,184.948,87,121
184.95,106,184.95,79,117
184.952,101,184.952,104,116
184.954,105,184.954,92,114
184.956,95,184.956,101,130
184.958,89,184.958,89,134
184.96,108,184.96,83,89
184.962,92,184.962,100,129
184.964,99,184.964,82,126
184.966,106,184.966,85,129
184.968,110,184.968,91,140
184.97,89,184.97,100,133
184.972,129,184.972,93,129
184.974,94,184.974,105,131
184.976,75,184.976,115,126
184.978,104,184.978,116,142
184.98,114,184.98,99,130
184.982,108,184.982,104,127
184.984,100,184.984,112,127
184.986,101,184.986,102,122
184.988,102,184.988,99,122
184.99,113,184.99,98,106
184.992,111,184.992,105,109
184.994,93,184.994,90,115
184.996,124,184.996,104,131
184.998,92,184.998,100,114
185,103,185,100,105
185.002,109,185.002,104,135
185.004,96,185.004,95,135
185.006,112,185.006,91,125
185.008,112,185.008,94,106
185.01,104,185.01,95,135
185.012,109,185.012,101,111
185.014,86,185.014,104,135
185.016,104,185.016,82,140
185.018,119,185.018,75,117
185.02,92,185.02,97,124
185.022,112,185.022,106,140
185.024,125,185.024,108,117
185.026,104,185.026,96,120
185.028,113,185.028,96,113
185.03,123,185.03,113,128
185.032,100,185.032,102,115
185.034,91,185.034,83,131
185.036,116,185.036,96,132
185.038,102,185.038,90,130
185.04,130,185.04,105,123
185.042,111,185.042,98,118
185.044,112,185.044,113,136
185.046,106,185.046,129,126
185.048,109,185.048,97,128
185.05,119,185.05,96,131
185.052,93,185.052,93,118
185.054,108,185.054,110,132
185.056,110,185.056,100,151
185.058,104,185.058,105,120
185.06,85,185.06,100,137
185.062,104,185.062,89,124
185.064,108,185.064,94,133
185.066,111,185.066,89,128
185.068,111,185.068,97,117
185.07,116,185.07,110,133
185.072,108,185.072,92,118
185.074,109,185.074,81,142
185.076,104,185.076,98,123
185.078,108,185.078,99,129
185.08,93,185.08,88,141
185.082,118,185.082,95,131
185.084,128,185.084,101,130
185.086,122,185.086,93,132
185.088,102,185.088,95,125
185.09,104,185.09,88,139
185.092,108,185.092,104,125
185.094,101,185.094,105,126
185.096,107,185.096,92,142
185.098,115,185.098,117,107
185.1,115,185.1,92,124
185.102,103,185.102,107,139
185.104,113,185.104,118,112
185.106,78,185.106,101,135
185.108,120,185.108,99,133
185.11,108,185.11,97,139
185.112,124,185.112,96,149
185.114,98,185.114,97,126
185.116,108,185.116,110,119
185.118,127,185.118,86,126
185.12,98,185.12,117,120
185.122,131,185.122,87,114
185.124,109,185.124,117,143
185.126,127,185.126,93,128
185.128,110,185.128,104,124
185.13,117,185.13,122,129
185.132,123,185.132,99,146
